id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
63624,20-06-2019 13:51,Litter relinquishment,0,C1906853,9.8102E+14,Norris,Domestic Short Hair,Black,Cat,12 weeks.,Male,Adoptable window colony,08-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63625,20-06-2019 13:51,Litter relinquishment,0,C1906855,9.8102E+14,Delores,Domestic Short Hair,Black,Cat,12 weeks.,Female,Adoptable Cat Small Colony,24-06-2019 00:00,Foster,0,11-07-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63625,20-06-2019 13:51,Litter relinquishment,0,C1906855,9.8102E+14,Delores,Domestic Short Hair,Black,Cat,12 weeks.,Female,Adoptable Cat Small Colony,20-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63626,20-06-2019 14:06,Moving,0,D1906859,9.8102E+14,Bailey,Boxer,White,Dog,9 years 0 months.,Female,Dog room D,05-07-2019 00:00,Foster,0,11-07-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63626,20-06-2019 14:06,Moving,0,D1906859,9.8102E+14,Bailey,Boxer,White,Dog,9 years 0 months.,Female,Dog room D,11-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63627,20-06-2019 14:24,Moving,0,C1906863,9.8102E+14,Wonder,Domestic Short Hair,Brown and Black,Cat,9 months.,Male,Adoptable Cat Middle Colony,27-06-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63628,20-06-2019 14:28,Moving,0,C1906864,9.8102E+14,Curiosity,Domestic Short Hair,Black and White,Cat,10 months.,Female,Adoptable Cat Kennels,05-07-2019 00:00,Adoption,0,06-07-2019 00:00,Incompatible with other pets,,Court Order/ Legal,0,0,0
63628,20-06-2019 14:28,Moving,0,C1906864,9.8102E+14,Curiosity,Domestic Short Hair,Black and White,Cat,10 months.,Female,Adoptable Cat Kennels,17-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63629,20-06-2019 15:11,Incompatible with owner lifestyle,0,D1906865,9.8102E+14,Sergio,Shep Mix,Tricolour,Dog,14 weeks.,Male,Adoptable Dogs,26-06-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63631,20-06-2019 15:42,Litter relinquishment,0,C1906865,9.8102E+14,Jersey,Domestic Short Hair,Black and Brown,Cat,10 weeks.,Female,Adoptable window colony,22-06-2019 00:00,Foster,0,26-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63632,20-06-2019 15:42,Litter relinquishment,0,C1906866,9.8102E+14,Holstein,Domestic Short Hair,Black and White,Cat,10 weeks.,Male,Adoptable window colony,22-06-2019 00:00,Foster,0,26-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63632,20-06-2019 15:42,Litter relinquishment,0,C1906866,9.8102E+14,Holstein,Domestic Short Hair,Black and White,Cat,10 weeks.,Male,Adoptable window colony,30-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63633,20-06-2019 15:42,Litter relinquishment,0,C1906867,9.8102E+14,Texas longhorn,Domestic Short Hair,Black and Brown,Cat,10 weeks.,Male,Adoptable window colony,22-06-2019 00:00,Foster,0,26-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63633,20-06-2019 15:42,Litter relinquishment,0,C1906867,9.8102E+14,Texas longhorn,Domestic Short Hair,Black and Brown,Cat,10 weeks.,Male,Adoptable window colony,30-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63634,20-06-2019 15:42,Litter relinquishment,0,C1906868,9.8102E+14,Moo,Domestic Short Hair,Black and White,Cat,2 years 1 month.,Female,Adoptable Cat Big Colony,22-06-2019 00:00,Foster,0,26-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63635,20-06-2019 15:49,Stray,0,C1906869,9.8102E+14,Machine,Domestic Short Hair,Orange,Cat,12 weeks.,Male,Adoptable Cat Kennels,21-06-2019 00:00,Foster,0,05-07-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63635,20-06-2019 15:49,Stray,0,C1906869,9.8102E+14,Machine,Domestic Short Hair,Orange,Cat,12 weeks.,Male,Adoptable Cat Kennels,12-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63636,20-06-2019 16:25,Incompatible with owner lifestyle,0,D1906867,9.8102E+14,Meatball,Labrador Retriever/Bully Breed Mix,Black and White,Dog,6 months.,Male,Adoptable Dogs,29-06-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63637,20-06-2019 16:48,Stray,0,D1906870,,Shadow,Shep Mix,"Brown, Black and White",Dog,4 years 0 months.,Male,Canine intake room,20-06-2019 00:00,Reclaimed,0,,Stray,,Court Order/ Legal,0,0,0
63638,21-06-2019 11:18,Stray,0,D1906863,,Pablo,Terrier/Mix,White and Black,Dog,2 years 0 months.,Male,Dog room A,24-06-2019 00:00,Reclaimed,0,,Stray,,Court Order/ Legal,0,0,0
63639,21-06-2019 11:57,Stray,0,H1906864,,Tookie,Dutch,White and Tan,House Rabbit,1 year 0 months.,Male,Small Animal room,03-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63640,21-06-2019 12:02,Stray,0,C1906871,9.8102E+14,Terry,Domestic Short Hair,Black and grey,Cat,2 years 0 months.,Male,Adoptable Cat Big Colony,06-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63641,21-06-2019 12:09,Landlord issues,0,C1906870,,"Sea Monster ""CC""",Domestic Long Hair,Black and White,Cat,1 year 7 months.,Female,Feline intake room,21-06-2019 00:00,Transfer,0,,Stray,,Court Order/ Legal,0,0,0
63643,21-06-2019 13:50,Unable to Afford,0,D1906871,9.8102E+14,Abby,Labrador Retriever,Brown,Dog,8 years 1 month.,Female,Dog room Isolation,30-07-2019 00:00,Foster,0,02-08-2019 00:00,Stray,,Court Order/ Legal,0,0,0
63643,21-06-2019 13:50,Unable to Afford,0,D1906871,9.8102E+14,Abby,Labrador Retriever,Brown,Dog,8 years 1 month.,Female,Dog room Isolation,09-08-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63645,21-06-2019 14:27,Stray,0,D1906872,9.8102E+14,Janie,Bluetick Coonhound,Tricolour,Dog,4 years 1 month.,Female,Adoptable Dogs,27-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
63647,21-06-2019 14:32,Stray,0,D1906868,,Cowboy Bob,German Shepherd Dog,Black and Tan,Dog,1 year 1 month.,Male,Dog room D,21-06-2019 00:00,Reclaimed,0,,Stray,,Court Order/ Legal,0,0,0
63649,21-06-2019 15:06,Unsuitable Accommodation,0,C1906872,9.8102E+14,Vipress,Domestic Long Hair,Black,Cat,14 weeks.,Female,Adoptable window colony,05-07-2019 00:00,Adoption,0,,Stray,,Court Order/ Legal,0,0,0
